;Sobel Performance; Sobel Taux FN;Sobel Taux FP; Laplace Performance; Laplace Taux FN;Laplace Taux FP; Canny Performance; Canny Taux FN;Canny Taux FP;
rino.pgm ;0.235062    ;0.514938    ;0.250000    ;0.170798    ;0.446897    ;0.382305    ;0.358560    ;0.477590    ;0.163850    ;
golfcart.pgm ;0.302447    ;0.413300    ;0.284253    ;0.431721    ;0.366837    ;0.201442    ;0.584098    ;0.274109    ;0.141793    ;
bear_4.pgm ;0.165192    ;0.484457    ;0.350352    ;0.161041    ;0.391128    ;0.447830    ;0.288837    ;0.188887    ;0.522276    ;
bear_7.pgm ;0.054361    ;0.197469    ;0.748170    ;0.108474    ;0.160917    ;0.730609    ;0.083605    ;0.077133    ;0.839262    ;
elephant_4.pgm ;0.248490    ;0.315789    ;0.435720    ;0.330589    ;0.477151    ;0.192260    ;0.452917    ;0.219518    ;0.327564    ;
turtle.pgm ;0.248278    ;0.443752    ;0.307970    ;0.309702    ;0.519049    ;0.171249    ;0.365975    ;0.199330    ;0.434695    ;
goat_2.pgm ;0.159851    ;0.305436    ;0.534714    ;0.188340    ;0.359370    ;0.452291    ;0.254028    ;0.174746    ;0.571226    ;
goat_6.pgm ;0.131545    ;0.517667    ;0.350788    ;0.171768    ;0.377386    ;0.450846    ;0.334512    ;0.204738    ;0.460750    ;
tire.pgm ;0.291720    ;0.326903    ;0.381377    ;0.288133    ;0.240741    ;0.471126    ;0.433048    ;0.426371    ;0.140580    ;
goat_4.pgm ;0.205305    ;0.490193    ;0.304502    ;0.212586    ;0.349889    ;0.437524    ;0.400677    ;0.331303    ;0.268020    ;
gazelle_2.pgm ;0.231369    ;0.414710    ;0.353921    ;0.244438    ;0.380750    ;0.374811    ;0.324082    ;0.439710    ;0.236209    ;
bear.pgm ;0.165512    ;0.427016    ;0.407472    ;0.133797    ;0.356178    ;0.510025    ;0.405947    ;0.320692    ;0.273362    ;
goat_3.pgm ;0.174608    ;0.359865    ;0.465527    ;0.246681    ;0.394219    ;0.359099    ;0.369103    ;0.317609    ;0.313288    ;
bear_8.pgm ;0.069047    ;0.521773    ;0.409180    ;0.057671    ;0.249770    ;0.692559    ;0.183186    ;0.625839    ;0.190975    ;
gnu.pgm ;0.220216    ;0.367803    ;0.411982    ;0.170403    ;0.498399    ;0.331198    ;0.485324    ;0.326364    ;0.188313    ;
goat.pgm ;0.270845    ;0.385797    ;0.343358    ;0.356434    ;0.332547    ;0.311019    ;0.409187    ;0.237340    ;0.353473    ;
bear_6.pgm ;0.084094    ;0.529361    ;0.386545    ;0.101932    ;0.226693    ;0.671375    ;0.103462    ;0.135305    ;0.761234    ;
elephants.pgm ;0.276207    ;0.400718    ;0.323075    ;0.381772    ;0.332759    ;0.285468    ;0.556175    ;0.198279    ;0.245546    ;
rino_2.pgm ;0.114303    ;0.228606    ;0.657091    ;0.199594    ;0.303277    ;0.497130    ;0.252476    ;0.246517    ;0.501008    ;
elephant_3.pgm ;0.253975    ;0.443714    ;0.302311    ;0.265669    ;0.399717    ;0.334614    ;0.515589    ;0.332389    ;0.152023    ;
goat_7.pgm ;0.136254    ;0.564804    ;0.298943    ;0.221423    ;0.420841    ;0.357736    ;0.363986    ;0.411971    ;0.224043    ;
elephants_2.pgm ;0.245371    ;0.458640    ;0.295990    ;0.264760    ;0.398982    ;0.336258    ;0.381261    ;0.350319    ;0.268420    ;
gazelle.pgm ;0.240076    ;0.407764    ;0.352160    ;0.258970    ;0.350072    ;0.390958    ;0.400358    ;0.262278    ;0.337364    ;
tiger.pgm ;0.243446    ;0.363960    ;0.392594    ;0.145019    ;0.367325    ;0.487656    ;0.368117    ;0.272898    ;0.358985    ;
bear_5.pgm ;0.169975    ;0.465313    ;0.364711    ;0.136025    ;0.288290    ;0.575685    ;0.251992    ;0.361404    ;0.386603    ;
gnu_2.pgm ;0.171877    ;0.469055    ;0.359068    ;0.189479    ;0.441785    ;0.368736    ;0.337573    ;0.362455    ;0.299972    ;
bears.pgm ;0.171090    ;0.454706    ;0.374204    ;0.157509    ;0.351266    ;0.491226    ;0.316041    ;0.246817    ;0.437142    ;
buffalo_2.pgm ;0.205673    ;0.356693    ;0.437635    ;0.267657    ;0.422451    ;0.309892    ;0.333238    ;0.314051    ;0.352711    ;
hyena.pgm ;0.344802    ;0.476440    ;0.178758    ;0.518552    ;0.469080    ;0.012368    ;0.560363    ;0.205862    ;0.233775    ;
brush.pgm ;0.195843    ;0.350614    ;0.453543    ;0.284422    ;0.288450    ;0.427128    ;0.304964    ;0.105901    ;0.589135    ;
bear_3.pgm ;0.099399    ;0.300660    ;0.599941    ;0.141753    ;0.250652    ;0.607595    ;0.155891    ;0.301532    ;0.542577    ;
lions.pgm ;0.255328    ;0.367769    ;0.376903    ;0.280561    ;0.338212    ;0.381227    ;0.370912    ;0.372811    ;0.256277    ;
elephant_2.pgm ;0.285374    ;0.446383    ;0.268242    ;0.234641    ;0.397970    ;0.367389    ;0.446886    ;0.252159    ;0.300955    ;
goat_8.pgm ;0.143157    ;0.305127    ;0.551716    ;0.175771    ;0.285857    ;0.538372    ;0.298503    ;0.291069    ;0.410428    ;
bear_2.pgm ;0.148383    ;0.416966    ;0.434651    ;0.175573    ;0.424869    ;0.399558    ;0.344582    ;0.341598    ;0.313820    ;
buffalo.pgm ;0.258879    ;0.486657    ;0.254464    ;0.300467    ;0.386081    ;0.313452    ;0.473948    ;0.253004    ;0.273049    ;
basket.pgm ;0.172515    ;0.556419    ;0.271065    ;0.157809    ;0.358642    ;0.483549    ;0.301832    ;0.389066    ;0.309102    ;
rino_3.pgm ;0.199342    ;0.484266    ;0.316392    ;0.219159    ;0.496485    ;0.284356    ;0.292284    ;0.360141    ;0.347575    ;
elephant.pgm ;0.256898    ;0.378420    ;0.364682    ;0.301536    ;0.388438    ;0.310026    ;0.474152    ;0.351487    ;0.174361    ;
